Interval=	0.001 s
ExcelDateTime=	4.3789698858673677e+04	11/20/19 16:46:21.389406
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	500.0 mV
1.09	1.875
1.091	1.984375
1.092	2.0625
1.093	2.140625
1.094	2.171875
1.095	2.140625
1.096	2.109375
1.097	2.0625
1.098	2
1.099	1.890625
1.1	1.78125
1.101	1.671875
1.102	1.546875
1.103	1.4375
1.104	1.3125
1.105	1.21875
1.106	1.15625
1.107	1.078125
1.108	1.03125
1.109	1.03125
1.11	0.984375
1.111	0.953125
1.112	0.953125
1.113	0.9375
1.114	0.96875
1.115	0.96875
1.116	0.96875
1.117	0.984375
1.118	1.015625
1.119	1.03125
1.12	1.0625
1.121	1.109375
1.122	1.15625
1.123	1.21875
1.124	1.25
1.125	1.3125
1.126	1.375
1.127	1.4375
1.128	1.484375
1.129	1.515625
1.13	1.5625
1.131	1.5625
1.132	1.578125
1.133	1.578125
1.134	1.578125
1.135	1.578125
1.136	1.53125
1.137	1.46875
1.138	1.390625
1.139	1.3125
1.14	1.21875
1.141	1.109375
1.142	1
1.143	0.875
1.144	0.75
1.145	0.625
1.146	0.484375
1.147	0.34375
1.148	0.203125
1.149	0.0625
1.15	-0.078125
1.151	-0.171875
1.152	-0.25
1.153	-0.390625
1.154	-0.5625
1.155	-0.75
1.156	-0.953125
1.157	-1.21875
1.158	-1.53125
1.159	-1.859375
1.16	-2.140625
1.161	-2.34375
1.162	-2.53125
1.163	-2.796875
1.164	-3.09375
1.165	-3.390625
1.166	-3.640625
1.167	-3.84375
1.168	-4.046875
1.169	-4.15625
1.17	-4.0625
1.171	-3.859375
1.172	-3.703125
1.173	-3.609375
1.174	-3.421875
1.175	-3.1875
1.176	-3.03125
1.177	-2.890625
1.178	-2.65625
1.179	-2.4375
1.18	-2.25
1.181	-2
1.182	-1.640625
1.183	-1.390625
1.184	-1.265625
1.185	-1.109375
1.186	-0.9375
1.187	-0.875
1.188	-0.890625
1.189	-0.828125
1.19	-0.8125
1.191	-0.96875
1.192	-1.078125
1.193	-1.078125
1.194	-1.140625
1.195	-1.265625
1.196	-1.34375
1.197	-1.390625
1.198	-1.484375
1.199	-1.59375
1.2	-1.625
1.201	-1.625
1.202	-1.671875
1.203	-1.75
1.204	-1.734375
1.205	-1.578125
1.206	-1.4375
1.207	-1.375
1.208	-1.265625
1.209	-1.109375
1.21	-1
1.211	-0.9375
1.212	-0.78125
1.213	-0.625
1.214	-0.546875
1.215	-0.5
1.216	-0.40625
1.217	-0.3125
1.218	-0.28125
1.219	-0.265625
1.22	-0.265625
1.221	-0.28125
1.222	-0.390625
1.223	-0.53125
1.224	-0.6875
1.225	-0.859375
1.226	-1.109375
1.227	-1.390625
1.228	-1.640625
1.229	-1.90625
1.23	-2.1875
1.231	-2.390625
1.232	-2.578125
1.233	-2.765625
1.234	-2.8125
1.235	-2.59375
1.236	-2.375
1.237	-2.359375
1.238	-2.390625
1.239	-2.34375
1.24	-2.28125
1.241	-2.234375
1.242	-2.09375
1.243	-1.953125
1.244	-1.875
1.245	-1.75
1.246	-1.578125
1.247	-1.515625
1.248	-1.546875
1.249	-1.53125
1.25	-1.546875
1.251	-1.65625
1.252	-1.765625
1.253	-1.828125
1.254	-2
1.255	-2.234375
1.256	-2.390625
1.257	-2.515625
1.258	-2.71875
1.259	-2.984375
1.26	-3.25
1.261	-3.5
1.262	-3.734375
1.263	-3.90625
1.264	-3.96875
1.265	-4.015625
1.266	-4.03125
1.267	-4.03125
1.268	-4.03125
1.269	-4.015625
1.27	-3.953125
1.271	-3.890625
1.272	-3.828125
1.273	-3.734375
1.274	-3.609375
1.275	-3.4375
1.276	-3.25
1.277	-3.015625
1.278	-2.796875
1.279	-2.640625
1.28	-2.46875
1.281	-2.3125
1.282	-2.234375
1.283	-2.21875
1.284	-2.21875
1.285	-2.25
1.286	-2.328125
1.287	-2.46875
1.288	-2.59375
1.289	-2.734375
1.29	-2.9375
1.291	-3.140625
1.292	-3.3125
1.293	-3.5
1.294	-3.703125
1.295	-3.875
1.296	-4.03125
1.297	-4.171875
1.298	-4.3125
1.299	-4.421875
1.3	-4.453125
1.301	-4.5
1.302	-4.578125
1.303	-4.609375
1.304	-4.59375
1.305	-4.625
1.306	-4.65625
1.307	-4.65625
1.308	-4.671875
1.309	-4.734375
1.31	-4.796875
1.311	-4.796875
1.312	-4.828125
1.313	-4.9375
1.314	-5.015625
1.315	-5.015625
1.316	-5.109375
1.317	-5.234375
1.318	-5.3125
1.319	-5.375
1.32	-5.5
1.321	-5.609375
1.322	-5.625
1.323	-5.640625
1.324	-5.6875
1.325	-5.6875
1.326	-5.65625
1.327	-5.59375
1.328	-5.578125
1.329	-5.53125
1.33	-5.40625
1.331	-5.3125
1.332	-5.25
1.333	-5.125
1.334	-4.984375
1.335	-4.84375
1.336	-4.6875
1.337	-4.53125
1.338	-4.359375
1.339	-4.15625
1.34	-3.96875
1.341	-3.84375
1.342	-3.71875
1.343	-3.53125
1.344	-3.40625
1.345	-3.34375
1.346	-3.25
1.347	-3.109375
1.348	-3.03125
1.349	-3.03125
1.35	-3.015625
1.351	-2.9375
1.352	-2.921875
1.353	-2.953125
1.354	-2.921875
1.355	-2.84375
1.356	-2.78125
1.357	-2.71875
1.358	-2.640625
1.359	-2.5625
1.36	-2.5
1.361	-2.453125
1.362	-2.390625
1.363	-2.34375
1.364	-2.265625
1.365	-2.21875
1.366	-2.15625
1.367	-2.09375
1.368	-2.09375
1.369	-2.09375
1.37	-2.0625
1.371	-2.0625
1.372	-2.109375
1.373	-2.125
1.374	-2.125
1.375	-2.140625
1.376	-2.21875
1.377	-2.296875
1.378	-2.328125
1.379	-2.375
1.38	-2.453125
1.381	-2.484375
1.382	-2.5
1.383	-2.484375
1.384	-2.484375
1.385	-2.53125
1.386	-2.5
1.387	-2.4375
1.388	-2.453125
1.389	-2.4375
1.39	-2.359375
1.391	-2.34375
1.392	-2.296875
1.393	-2.28125
1.394	-2.265625
1.395	-2.21875
1.396	-2.171875
1.397	-2.078125
1.398	-2.015625
1.399	-1.96875
1.4	-1.875
1.401	-1.859375
1.402	-1.859375
1.403	-1.78125
1.404	-1.703125
1.405	-1.640625
1.406	-1.515625
1.407	-1.359375
