Interval=	0.001 s
ExcelDateTime=	4.3789696833545400e+04	11/20/19 16:43:26.418323
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	500.0 mV
0.939	-0.265625
0.94	-0.296875
0.941	-0.34375
0.942	-0.328125
0.943	-0.3125
0.944	-0.328125
0.945	-0.3125
0.946	-0.296875
0.947	-0.296875
0.948	-0.3125
0.949	-0.34375
0.95	-0.328125
0.951	-0.28125
0.952	-0.265625
0.953	-0.203125
0.954	-0.171875
0.955	-0.15625
0.956	-0.140625
0.957	-0.109375
0.958	-0.078125
0.959	-0.03125
0.96	0
0.961	0.046875
0.962	0.09375
0.963	0.140625
0.964	0.1875
0.965	0.234375
0.966	0.25
0.967	0.28125
0.968	0.34375
0.969	0.375
0.97	0.40625
0.971	0.421875
0.972	0.484375
0.973	0.5
0.974	0.46875
0.975	0.484375
0.976	0.53125
0.977	0.546875
0.978	0.53125
0.979	0.515625
0.98	0.546875
0.981	0.578125
0.982	0.546875
0.983	0.515625
0.984	0.5
0.985	0.484375
0.986	0.453125
0.987	0.40625
0.988	0.40625
0.989	0.375
0.99	0.359375
0.991	0.359375
0.992	0.390625
0.993	0.40625
0.994	0.421875
0.995	0.4375
0.996	0.46875
0.997	0.5
0.998	0.5
0.999	0.53125
1	0.5625
1.001	0.609375
1.002	0.671875
1.003	0.671875
1.004	0.640625
1.005	0.625
1.006	0.671875
1.007	0.703125
1.008	0.71875
1.009	0.71875
1.01	0.765625
1.011	0.796875
1.012	0.8125
1.013	0.765625
1.014	0.734375
1.015	0.734375
1.016	0.703125
1.017	0.703125
1.018	0.6875
1.019	0.65625
1.02	0.625
1.021	0.5625
1.022	0.53125
1.023	0.5
1.024	0.4375
1.025	0.40625
1.026	0.390625
1.027	0.40625
1.028	0.4375
1.029	0.421875
1.03	0.421875
1.031	0.4375
1.032	0.46875
1.033	0.4375
1.034	0.421875
1.035	0.46875
1.036	0.53125
1.037	0.578125
1.038	0.59375
1.039	0.609375
1.04	0.640625
1.041	0.65625
1.042	0.671875
1.043	0.6875
1.044	0.71875
1.045	0.75
1.046	0.78125
1.047	0.796875
1.048	0.796875
1.049	0.765625
1.05	0.734375
1.051	0.703125
1.052	0.6875
1.053	0.671875
1.054	0.65625
1.055	0.671875
1.056	0.65625
1.057	0.625
1.058	0.59375
1.059	0.546875
1.06	0.53125
1.061	0.515625
1.062	0.515625
1.063	0.546875
1.064	0.5625
1.065	0.578125
1.066	0.578125
1.067	0.546875
1.068	0.53125
1.069	0.515625
1.07	0.515625
1.071	0.515625
1.072	0.546875
1.073	0.578125
1.074	0.578125
1.075	0.625
1.076	0.65625
1.077	0.640625
1.078	0.640625
1.079	0.671875
1.08	0.703125
1.081	0.75
1.082	0.796875
1.083	0.8125
1.084	0.8125
1.085	0.828125
1.086	0.84375
1.087	0.875
1.088	0.921875
1.089	0.953125
1.09	1.015625
1.091	1.046875
1.092	1.078125
1.093	1.125
1.094	1.171875
1.095	1.21875
1.096	1.234375
1.097	1.265625
1.098	1.296875
1.099	1.328125
1.1	1.328125
1.101	1.34375
1.102	1.375
1.103	1.375
1.104	1.375
1.105	1.390625
1.106	1.421875
1.107	1.4375
1.108	1.453125
1.109	1.484375
1.11	1.484375
1.111	1.484375
1.112	1.5
1.113	1.5
1.114	1.5
1.115	1.484375
1.116	1.46875
1.117	1.484375
1.118	1.5
1.119	1.53125
1.12	1.546875
1.121	1.5625
1.122	1.59375
1.123	1.609375
1.124	1.59375
1.125	1.59375
1.126	1.640625
1.127	1.671875
1.128	1.6875
1.129	1.703125
1.13	1.703125
1.131	1.703125
1.132	1.671875
1.133	1.671875
1.134	1.6875
1.135	1.703125
1.136	1.71875
1.137	1.734375
1.138	1.734375
1.139	1.71875
1.14	1.6875
1.141	1.640625
1.142	1.609375
1.143	1.59375
1.144	1.578125
1.145	1.578125
1.146	1.5625
1.147	1.515625
1.148	1.453125
1.149	1.375
1.15	1.296875
1.151	1.234375
1.152	1.15625
1.153	1.078125
1.154	1
1.155	0.921875
1.156	0.84375
1.157	0.75
1.158	0.65625
1.159	0.5625
1.16	0.46875
1.161	0.375
1.162	0.296875
1.163	0.21875
1.164	0.15625
1.165	0.078125
1.166	-0.015625
1.167	-0.09375
1.168	-0.15625
1.169	-0.234375
1.17	-0.28125
1.171	-0.3125
1.172	-0.34375
1.173	-0.390625
1.174	-0.4375
1.175	-0.46875
1.176	-0.484375
1.177	-0.5
1.178	-0.515625
1.179	-0.53125
1.18	-0.53125
1.181	-0.53125
1.182	-0.546875
1.183	-0.578125
1.184	-0.578125
1.185	-0.546875
1.186	-0.546875
1.187	-0.53125
1.188	-0.53125
1.189	-0.515625
1.19	-0.46875
1.191	-0.46875
1.192	-0.421875
1.193	-0.359375
1.194	-0.328125
1.195	-0.28125
1.196	-0.234375
1.197	-0.21875
1.198	-0.171875
1.199	-0.140625
1.2	-0.125
1.201	-0.078125
1.202	-0.046875
